"path","reference_count","sources","size_kb"
"images/ch1/hinh-1-minh-hoa-02.png","2","chapters/ch1/muc-V-3.html; js/pages.js","58.17"
"images/ch1/hinh-1-minh-hoa-03.png","2","chapters/ch1/muc-VII-1.html; js/pages.js","57.65"
"images/ch2/hinh-2-05.png","2","chapters/ch2/muc-I-2.html; js/pages.js","135.83"
"images/ch2/hinh-2-06.png","2","chapters/ch2/muc-I-3.html; js/pages.js","174.02"
"images/ch2/hinh-2-07.png","2","chapters/ch2/muc-I-4.html; js/pages.js","82.46"
"images/ch2/hinh-2-08.png","2","chapters/ch2/muc-I-4.html; js/pages.js","159.48"
"images/ch2/hinh-2-09.png","2","chapters/ch2/muc-II-2.html; js/pages.js","46.54"
"images/ch2/hinh-2-10.png","2","chapters/ch2/muc-II-2.html; js/pages.js","282.74"
"images/ch2/hinh-2-12.png","2","chapters/ch2/muc-II-2.html; js/pages.js","341.59"
"images/ch2/hinh-2-13.png","2","chapters/ch2/muc-II-2.html; js/pages.js","30.21"
"images/ch2/hinh-2-14.png","2","chapters/ch2/muc-II-2.html; js/pages.js","176.65"
"images/ch2/hinh-2-15.png","2","chapters/ch2/muc-III-2.html; js/pages.js","330.28"
"images/ch2/hinh-2-16.png","2","chapters/ch2/muc-III-2.html; js/pages.js","275.46"
"images/ch2/hinh-2-17.png","2","chapters/ch2/muc-IV-1.html; js/pages.js","75.09"
"images/ch2/hinh-2-18.png","2","chapters/ch2/muc-IV-3.html; js/pages.js","134.98"
"images/ch2/hinh-2-19.png","2","chapters/ch2/muc-IV-4.html; js/pages.js","20.98"
"images/ch2/hinh-2-21.png","2","chapters/ch2/muc-V-1.html; js/pages.js","30.45"
"images/ch2/hinh-2-22.png","2","chapters/ch2/muc-V-2.html; js/pages.js","16.02"
"images/ch2/hinh-2-23.png","2","chapters/ch2/muc-V-3.html; js/pages.js","13.05"
"images/ch2/hinh-2-24.png","2","chapters/ch2/muc-V-3.html; js/pages.js","19.1"
"images/ch2/hinh-2-26.png","2","chapters/ch2/muc-V-3.html; js/pages.js","133.58"
"images/ch2/hinh-2-27.png","2","chapters/ch2/muc-V-3.html; js/pages.js","91.92"
"images/ch2/hinh-2-31.png","2","chapters/ch2/muc-VII-1.html; js/pages.js","8.51"
"images/ch2/hinh-2-32.png","2","chapters/ch2/muc-VII-1.html; js/pages.js","17.02"
"images/ch2/hinh-2-33.png","2","chapters/ch2/muc-VII-1.html; js/pages.js","10.22"
"images/ch2/hinh-2-34.png","2","chapters/ch2/muc-VII-1.html; js/pages.js","210.37"
"images/ch2/hinh-2-35.png","2","chapters/ch2/muc-VII-1.html; js/pages.js","90.79"
"images/ch2/hinh-2-36.png","2","chapters/ch2/muc-VII-1.html; js/pages.js","120.64"
"images/ch2/hinh-2-37.png","2","chapters/ch2/muc-VII-1.html; js/pages.js","142.42"
